x,y,z,yaw,velocity,change_flag
-4.7344,18.3365,0.8972,2.2242,1.1316,0
-4.7871,18.3871,0.8813,2.2194,1.2972,0
-4.8304,18.4354,0.8794,2.2204,1.8154,0
-4.8790,18.4885,0.9264,2.2278,1.8625,0
-4.9295,18.5366,0.9075,2.2248,2.2364,0
-4.9729,18.5944,0.8985,2.2196,1.4995,0
-5.0071,18.6454,0.9069,2.2222,1.2383,0
-5.0492,18.6839,0.9283,2.2245,1.4298,0
-5.0696,18.7309,0.8813,2.2263,1.3205,0
-5.1803,18.8171,0.9334,2.2227,3.9579,0
-5.2149,18.8533,0.9039,2.2161,1.8777,0
-5.2585,18.8995,0.9197,2.2210,0.8142,0
-5.3076,18.9419,0.9249,2.2221,2.2358,0
-5.3479,19.0120,0.9086,2.2150,1.4946,0
-5.3854,19.0459,0.9260,2.2169,1.8342,0
-5.4236,19.0846,0.9282,2.2198,1.0320,0
-5.4632,19.1392,0.9319,2.2187,1.2062,0
-5.4838,19.2099,0.9279,2.2203,1.0008,0
-5.5515,19.2273,0.9420,2.2190,2.6028,0
-5.5700,19.2847,0.9278,2.2212,0.9995,0
-5.6138,19.3155,0.9296,2.2213,1.8402,0
-5.6509,19.3606,0.9167,2.2215,1.8360,0
-5.6924,19.3929,0.9151,2.2268,0.4623,0
-5.7268,19.4454,0.9088,2.2188,1.1053,0
-5.7578,19.4848,0.9478,2.2204,1.1948,0
-5.8119,19.5472,0.9250,2.2198,1.2760,0
-5.8589,19.6020,0.9384,2.2210,2.5736,0
-5.9111,19.6432,0.9029,2.2191,1.8492,0
-5.9495,19.6800,0.9225,2.2157,1.9472,0
-5.9968,19.7415,0.9142,2.2121,1.1443,0
-6.0230,19.7940,0.8961,2.2143,1.1319,0
-6.0590,19.8345,0.9263,2.2225,0.9260,0
-6.1062,19.8547,0.8954,2.2198,0.7320,0
-6.1422,19.9111,0.9312,2.2182,2.6037,0
-6.1229,19.9611,0.9172,2.2079,1.6233,0
-6.1800,19.9788,0.8752,2.2120,1.1058,0
-6.2389,20.0295,0.8902,2.2145,1.2471,0
-6.2614,20.0900,0.8765,2.2181,1.1062,0
-6.2894,20.1376,0.8927,2.2103,1.0255,0
-6.3528,20.1699,0.9120,2.2069,1.0958,0
-6.3820,20.2125,0.8858,2.2023,1.0536,0
-6.4243,20.2523,0.8800,2.2038,2.0044,0
-6.4484,20.2980,0.8860,2.2098,0.9893,0
-6.5420,20.3546,0.8613,2.2102,3.4087,0
-6.4998,20.3825,0.9014,2.2074,2.2158,0
-6.5453,20.4167,0.8765,2.2026,0.8453,0
-6.5973,20.4431,0.8716,2.1976,1.0004,0
-6.6105,20.4946,0.9003,2.1952,0.8036,0
-6.6685,20.5523,0.8981,2.1885,1.5697,0
-6.7000,20.6049,0.8883,2.1818,2.0541,0
-6.7637,20.6508,0.8619,2.1803,1.5854,0
-6.7832,20.7108,0.8979,2.1890,1.2022,0
-6.8159,20.7662,0.8573,2.1974,1.6934,0
-6.8630,20.7861,0.8515,2.1932,inf,0
-6.9188,20.8142,0.8394,2.1875,2.0711,0
-6.9167,20.8667,0.8682,2.1858,0.6211,0
-6.9696,20.9043,0.8474,2.1920,1.9753,0
-7.0064,20.9536,0.8650,2.1927,2.0301,0
-7.0461,20.9888,0.8685,2.1935,inf,0
-7.0747,21.0386,0.8566,2.1896,1.7488,0
-7.1226,21.0680,0.8724,2.1856,2.6339,0
-7.1233,21.1389,0.8522,2.1807,1.4020,0
-7.1790,21.1838,0.8663,2.1856,1.3674,0
-7.2276,21.2023,0.8483,2.1918,1.0659,0
-7.2541,21.2541,0.8371,2.1890,1.8312,0
-7.2780,21.3217,0.8842,2.1882,2.2207,0
-7.3192,21.3565,0.8263,2.1909,0.9674,0
-7.3792,21.3512,0.8380,2.1938,0.8295,0
-7.3764,21.4086,0.8537,2.1895,1.0785,0
-7.3936,21.4651,0.8586,2.1903,0.6823,0
-7.4736,21.5232,0.8675,2.1909,2.6883,0
-7.5174,21.5789,0.8466,2.1853,1.1304,0
-7.5852,21.6325,0.8266,2.1839,1.5886,0
-7.6103,21.6933,0.8513,2.1899,0.6919,0
-7.6685,21.8017,0.8574,2.1917,4.0531,0
-7.7405,21.8465,0.7985,2.1954,1.9799,0
-7.7815,21.8800,0.8273,2.1977,2.0727,0
-7.8068,21.9308,0.8155,2.1815,0.8376,0
-7.8373,21.9963,0.8677,2.1795,2.8613,0
-7.8961,22.0071,0.8175,2.1784,2.6814,0
-7.8963,22.0608,0.8215,2.1452,0.7839,0
-7.9473,22.0633,0.8258,2.1187,1.7598,0
-8.0167,22.1068,0.8450,2.0877,2.8880,0
-8.0788,22.1469,0.8346,2.0567,2.5629,0
-8.0981,22.2365,0.8226,2.0031,1.3837,0
-8.1019,22.2950,0.8285,1.9570,1.0102,0
-8.0829,22.3602,0.8385,1.9237,1.2618,0
-8.1099,22.4612,0.8562,1.9051,3.6935,0
-8.0484,22.4392,0.8572,1.8872,2.2430,0
-7.9971,22.4460,0.8670,1.8386,1.8744,0
-8.0977,22.4693,0.8544,1.7509,2.3771,0
-8.0749,22.4108,0.8471,1.7257,2.1673,0
-8.1975,22.4687,0.8175,1.6481,1.9747,0
-8.2440,22.6237,0.8552,1.5986,2.8527,0
-8.1839,22.7444,0.8762,1.5387,1.6475,0
-8.1244,22.7818,0.8302,1.5020,1.3313,0
-8.0939,22.8355,0.8881,1.4822,2.9065,0
-8.0495,22.8892,0.8566,1.4061,0.8898,0
-8.1219,22.9029,0.8675,1.3021,1.1215,0
-8.1263,22.9592,0.8311,1.2718,0.8050,0
-8.1528,23.0183,0.8516,1.2323,inf,0
-8.1653,23.0888,0.8606,1.1917,1.2391,0
-8.1373,23.1658,0.8596,1.1476,1.1985,0
-8.0590,23.2548,0.8690,1.1060,2.0419,0
-8.0033,23.2535,0.8789,1.0782,1.9419,0
-7.8919,23.3167,0.9082,1.0205,1.9127,0
-7.9641,23.3673,0.8518,0.9561,2.6674,0
-7.9117,23.4299,0.8932,0.9709,1.5677,0
